cooling	deck	dishwasher	heating	last sold	laundry	num_rooms	refridg	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore
1			1	1		4		0			9	House For Sale	159900	148000												
"10313 Bay Haven Dr, Fairhope, AL36532"																										
	3	2	1100	1975	21780	"Harris Properties Management, Inc."	http://www.zillow.com/homedetails/10313-Bay-Haven-Dr-Fairhope-AL-36532/72761030_zpid/		0	0																
1		1				6		0	0		5.333333333	House For Sale	92000	98000												
"4527 Henry Dr, Eight Mile, AL36613"																										
	3	2	1702	1976	43560	Exit Allstar Realty	http://www.zillow.com/homedetails/4527-Henry-Dr-Eight-Mile-AL-36613/50969518_zpid/		0	0																
1		1	1	1		9		0			7.333333333	House For Sale	164900	211000												
"8005 Craigmont Rd SW, Huntsville, AL35802"																										
	4	3	2650	1964	16988.4	"Matt Curtis Real Estate, Inc."	http://www.zillow.com/homedetails/8005-Craigmont-Rd-SW-Huntsville-AL-35802/92094526_zpid/		0	35																
1		1	1	1		0		0	5		8.666666667	House For Sale	685000	656000												
"1444 Scout Ridge Dr, Hoover, AL35244"																										
	5	5	5397	2007		RE/MAX Southern Homes	http://www.zillow.com/homedetails/1444-Scout-Ridge-Dr-Hoover-AL-35244/83895054_zpid/		0	7																
												House For Sale	375000	223000												
"10434 Paradise Shrs, Athens, AL35611"																										
	3	3	2300	2007	43560	CRYE-LEIKE REALTORS	http://www.zillow.com/homedetails/10434-Paradise-Shrs-Athens-AL-35611/2113041124_zpid/		0	1																
1		1		1		6		0			6.333333333	House For Sale	149500	123000												
"2933 Gaslight Ln W, Mobile, AL36695"																										
	3	2	1616	1988		Bellator Real Estate & Dev. Daphne	http://www.zillow.com/homedetails/2933-Gaslight-Ln-W-Mobile-AL-36695/51041703_zpid/		0	2																
									0		9.333333333	Lot/Land For Sale	150000													
"5687 Wyeth Mountain Rd, Guntersville, AL35976"																										
					1524600	"1st Real Estate, LLC"	http://www.zillow.com/homedetails/5687-Wyeth-Mountain-Rd-Guntersville-AL-35976/80750682_zpid/		0	0																
1		1	1	1	1			0			2.666666667	House For Sale	89900	103000												
"821 W Arbor Dr NW, Huntsville, AL35811"																										
	4	2	2203	1960	23958	Legend Realty	http://www.zillow.com/homedetails/821-W-Arbor-Dr-NW-Huntsville-AL-35811/92184840_zpid/	1	17	21																
1		1			1			0			4.333333333	House For Sale	134900	138000												
"109 Cloverwood Dr SW, Huntsville, AL35824"																										
	3	2	1650	2002	"7,840"	"Rise Real Estate, Inc."	http://www.zillow.com/homedetails/109-Cloverwood-Dr-SW-Huntsville-AL-35824/92089406_zpid/		0	0																
		1						0	1		7.333333333	House For Sale	124500	131000												
"7617 Holland Dr SW, Huntsville, AL35802"																										
	3	1	1745	1960	15681.6	Crye-Leike	http://www.zillow.com/homedetails/7617-Holland-Dr-SW-Huntsville-AL-35802/92108369_zpid/		15	54																
1	1	1	1		1	0		0	1		9	House For Sale	219000	203000												
"130 Steele Dr, Madison, AL35758"																										
	4	3	2888	1987	17859.6	"Matt Curtis Real Estate, Inc."	http://www.zillow.com/homedetails/130-Steele-Dr-Madison-AL-35758/92120055_zpid/		0	2																
1	1	1	1	1	1	1		0	0	1	3.666666667	House For Sale	134900	140000												
"6709 Woodglen Ct, Montgomery, AL36117"																										
	4	2	1922	1983	900	"Capital Realty Group River Region, LLC"	http://www.zillow.com/homedetails/6709-Woodglen-Ct-Montgomery-AL-36117/72818449_zpid/	1	0	31																
1			1	1		0		0	5		8	House For Sale	725000	782000												
"1383 Lake Trace Ln, Hoover, AL35244"																										
	5	6	5460	2002	29185.2	RE/MAX Southern Homes	http://www.zillow.com/homedetails/1383-Lake-Trace-Ln-Hoover-AL-35244/60543970_zpid/		0	2																
								0	0		5.333333333	House For Sale	274900	245000												
"1852 E Roy Parker Rd, Ozark, AL36360"																										
	4	4	2900	1887	79		http://www.zillow.com/homedetails/1852-E-Roy-Parker-Rd-Ozark-AL-36360/75961682_zpid/		0	2																
						6		0			5.666666667	House For Sale	189900	138000												
"2603 Georgia Ln, Fultondale, AL35068"																										
	3	2	1850	1961	147232.8		http://www.zillow.com/homedetails/2603-Georgia-Ln-Fultondale-AL-35068/60568669_zpid/		0	16																
												Townhouse For Sale	199900	179000												
"2005 Acton Park Way, Birmingham, AL35243"																										
	3	3	1737	2004		"ARC Realty, LLC"	http://www.zillow.com/homedetails/2005-Acton-Park-Way-Birmingham-AL-35243/67750078_zpid/		18	18																
1		1	1	1				0	1		6.666666667	House For Sale	149900	153000												
"1232 Glenstone Pl, Moody, AL35004"																										
	3	2	1724	2006	"6,098"	RE/MAX MarketPlace	http://www.zillow.com/homedetails/1232-Glenstone-Pl-Moody-AL-35004/71627580_zpid/		0	18																
												House For Sale	28350	127000												
"2781 County Road 5, Lineville, AL36266"																										
	2	1		1946	479160	Metro West	http://www.zillow.com/homedetails/2781-County-Road-5-Lineville-AL-36266/104533072_zpid/		0	0																
				1				0			6.333333333	House For Sale	102972	89000												
"2601 Ward Rd, Mobile, AL36693"																										
	3	2	1414	1973		Roberts Brothers West	http://www.zillow.com/homedetails/2601-Ward-Rd-Mobile-AL-36693/51037346_zpid/		0	13																
											6.333333333	Lot/Land For Sale	150000													
"6464 Canebrake Rd, MOBILE, AL36695"																										
						Roberts Brothers West	http://www.zillow.com/homedetails/6464-Canebrake-Rd-Mobile-AL-36695/67727588_zpid/		0	15																
											4.666666667	Foreclosure	21200													
"108 Doster St, Enterprise, AL36330"																										
	4					REALHome Services and Solutions	http://www.zillow.com/homedetails/108-Doster-St-Enterprise-AL-36330/2104266160_zpid/		0	44																
						6		0			5.333333333	Foreclosure	63600	135000												
"12012 Southview Cir, Moundville, AL35474"																										
	4	2	2063	2004	19602	REALHome Services and Solutions	http://www.zillow.com/homedetails/12012-Southview-Cir-Moundville-AL-35474/83273777_zpid/		0	11																
											8	House For Sale	219000													
"742 Riverchase Pkwy W, Hoover, AL35244"																										
	4	3				Landmark Real Estate	http://www.zillow.com/homedetails/742-Riverchase-Pkwy-W-Hoover-AL-35244/2104266357_zpid/		0	7																
				1		7		0			8.666666667	House For Sale	223200	263000												
"156 Essex Dr, Sterrett, AL35147"																										
	4	3	1481	2003	"10,103"	Landmark Real Estate	http://www.zillow.com/homedetails/156-Essex-Dr-Sterrett-AL-35147/35727081_zpid/		0	3																
											9	House For Sale	155000													
"5521 Promenade Dr, Trussville, AL35173"																										
	3	2				Landmark Real Estate	http://www.zillow.com/homedetails/5521-Promenade-Dr-Trussville-AL-35173/2104266791_zpid/		0	15																
											9	House For Sale	196900			"410 Still Oaks Cir, Trussville, AL35173"	4	3		1998		Landmark Real Estate	http://www.zillow.com/homedetails/410-Still-Oaks-Cir-Trussville-AL-35173/2104267001_zpid/		0	15
1		1	1	1	1	9		0	0		4	House For Sale	149900	163000		"5280 Stablehouse Ln, Pinson, AL35126"	5		2450	2001	"9,583"	RealtySouth	http://www.zillow.com/homedetails/5280-Stablehouse-Ln-Pinson-AL-35126/60568024_zpid/	1	0	0
											8.666666667	Lot/Land For Sale	93500			"16 Lake Blvd, Spanish Fort, AL36527"						Shamrock Properties LLC	http://www.zillow.com/homedetails/16-Lake-Blvd-Spanish-Fort-AL-36527/2104268188_zpid/		0	0
				1		4		0			9.333333333	Auction	from $20K			"2532 Ridgemont Dr, Birmingham, AL35244"	2	2	1042	2009	"2,613"	Auction.com	http://www.zillow.com/homedetails/2532-Ridgemont-Dr-Birmingham-AL-35244/110548716_zpid/		0	1
1	1		1	1		6		0			8.333333333	Foreclosure	135700	190000		"673 Magnolia Cir, GULF SHORES, AL36542"	3	2	1965	1995	"1,332"	REALHome Services and Solutions	http://www.zillow.com/homedetails/673-Magnolia-Cir-Gulf-Shores-AL-36542/72778327_zpid/		0	11
1	1	1	1		1			0			3	Townhouse For Sale	179900	138000		"4438 Hampton Heights Dr, Birmingham, AL35209"	3	3	2002	1985		RealtySouth MB Crestline	http://www.zillow.com/homedetails/4438-Hampton-Heights-Dr-Birmingham-AL-35209/2116475481_zpid/		27	38
											9.333333333	Lot/Land For Sale	224900			"0 Milner St, Gadsden, AL35901"					113256	"Corporate South Realty,Inc"	http://www.zillow.com/homedetails/0-Milner-St-Gadsden-AL-35901/2104270198_zpid/		0	0
		1			1				3		8.333333333	House For Sale	181900			"133 Hidden Valley Dr, Madison, AL35756"	3	2	1995		11325.6	Re/Max Legacy	http://www.zillow.com/homedetails/133-Hidden-Valley-Dr-Madison-AL-35756/2104270200_zpid/		0	0
				1				0			8.666666667	House For Sale	185000	173000		"137 Kingswood Dr, Huntsville, AL35806"	3	2	1885	1993	18730.8	Re/Max Alliance	http://www.zillow.com/homedetails/137-Kingswood-Dr-Huntsville-AL-35806/92152999_zpid/		0	1
												House For Sale	219900	198000		"5287 Magnolia South Dr, Trussville, AL35173"	3	3	2059	2006	54450	"Premier Trussville, LLC dba Keller Williams Realty"	http://www.zillow.com/homedetails/5287-Magnolia-South-Dr-Trussville-AL-35173/80740949_zpid/		0	5
				1		7		0	6		8.333333333	House For Sale	204900	175000		"605 Stirling Rdg, Prattville, AL36067"	4	2	2008	2007	12196.8	NO COMPANY PROVIDED	http://www.zillow.com/homedetails/605-Stirling-Rdg-Prattville-AL-36067/89033528_zpid/		0	6
												House For Sale	25000	44000		"7000 1st Ave S, Birmingham, AL35206"	3	1	1490	1927	"8,250"		http://www.zillow.com/homedetails/7000-1st-Ave-S-Birmingham-AL-35206/954082_zpid/		0	45
						6		0			4.333333333	House For Sale	71000	138000		"1907 Britton Dr, Phenix City, AL36870"	3	2	1671	1977			http://www.zillow.com/homedetails/1907-Britton-Dr-Phenix-City-AL-36870/104546189_zpid/		0	9
											6	Foreclosure	54925			"14635 Bay Rd E, Magnolia Springs, AL36555"	3		1065	1970	3	REALHome Services and Solutions	http://www.zillow.com/homedetails/14635-Bay-Rd-E-Magnolia-Springs-AL-36555/2104276217_zpid/		0	13
						5		0			2.666666667	Foreclosure	10000	45000		"600 Maple Ave, Birmingham, AL35214"	2	1	1618	1925	10890	W&J Realty LLC	http://www.zillow.com/homedetails/600-Maple-Ave-Birmingham-AL-35214/933448_zpid/		24	9
				1		7		0	0		2	Foreclosure	39900	69000		"1403 Adrian Ln, Montgomery, AL36111"	3	2	1800	1967	13068		http://www.zillow.com/homedetails/1403-Adrian-Ln-Montgomery-AL-36111/72811168_zpid/		0	24
				1				0			6.666666667	Foreclosure	131000	144000		"1256 Washington Dr, Moody, AL35004"	3	2	1544	2006	"4,356"		http://www.zillow.com/homedetails/1256-Washington-Dr-Moody-AL-35004/71633193_zpid/		0	19
												House For Sale	194500	197000		"115 Lake Davidson Ln, Helena, AL35080"	3	3	1672	1999	"2,614"	"ARC Realty, LLC"	http://www.zillow.com/homedetails/115-Lake-Davidson-Ln-Helena-AL-35080/35727584_zpid/		0	30
												Lot/Land For Sale	122500			"164 Deerwood Lake Dr # 34, Harpersville, AL35078"					130680	"MBRM, LLC"	http://www.zillow.com/homedetails/164-Deerwood-Lake-Dr-34-Harpersville-AL-35078/2104277246_zpid/		0	0
1	1		1	1		5		0	4	1	4.666666667	House For Sale	239900	300000		"3363 Chapel Hills Pkwy, Fultondale, AL35068"	3	3	1714	2005	17424	BENTLEY REALTY GROUP INC	http://www.zillow.com/homedetails/3363-Chapel-Hills-Pkwy-Fultondale-AL-35068/67747654_zpid/		0	6
1	1	1	1					0	2	1	6.333333333	House For Sale	84900	99000		"1048 County Road 40 W, Prattville, AL36067"	3	2	1680	2001	108900	Realty Connection	http://www.zillow.com/homedetails/1048-County-Road-40-W-Prattville-AL-36067/66700910_zpid/	1	0	0
												Lot/Land For Sale	122500			"164 Deerwood Lake Dr, Harpersville, AL35078"					130680	RE/MAX Preferred	http://www.zillow.com/homedetails/164-Deerwood-Lake-Dr-Harpersville-AL-35078/2111397113_zpid/		0	0
				1		6		0			3.666666667	House For Sale	61800	70000		"301 Lee St, Chickasaw, AL36611"	3	2	1746				http://www.zillow.com/homedetails/301-Lee-St-Chickasaw-AL-36611/50961296_zpid/		0	59
1	1	1	1	1		6		0	1		7.666666667	House For Sale	129000			"2528 Carmel Rd, Birmingham, AL35235"	3	2	1740	1974	"10,018"	Coldwell Banker Preferred Properties	http://www.zillow.com/homedetails/2528-Carmel-Rd-Birmingham-AL-35235/888470_zpid/		0	11
1	1	1	1						1		4.666666667	Townhouse For Sale	178850			"107 Planters Ct, Enterprise, AL36330"	3	2	1565	2006		"Coldwell Banker Prestige Homes & Real Estate, Inc."	http://www.zillow.com/homedetails/107-Planters-Ct-Enterprise-AL-36330/109357467_zpid/		0	12
												Lot/Land For Sale	175000			"0 Cr 412 LOT 13, Killen, AL35645"					31363.2	Coldwell Banker Elite Properties	http://www.zillow.com/homedetails/0-Cr-412-LOT-13-Killen-AL-35645/2104278086_zpid/		0	0
						6		0			7.333333333	Foreclosure	114000	110000		"2105 Hansel Ave SW, Huntsville, AL35802"	2	2	1718	1960	16117.2	ERA Ben Porter Real Estate	http://www.zillow.com/homedetails/2105-Hansel-Ave-SW-Huntsville-AL-35802/92099066_zpid/		14	53
				1				0			4	House For Sale	110000			"1957 Lebaron Dr W, Mobile, AL36618"	4	2	1620	1987	17424	Better Homes and Gardens Real Estate Generations	http://www.zillow.com/homedetails/1957-Lebaron-Dr-W-Mobile-AL-36618/50982915_zpid/		0	28
				1		7		0			8.333333333	Foreclosure	125000			"2445 Talking Leaves Ct, Mobile, AL36695"	3	2	1561	1997		Better Homes and Gardens Real Estate Generations	http://www.zillow.com/homedetails/2445-Talking-Leaves-Ct-Mobile-AL-36695/51049074_zpid/		0	21
				1		5		0			8.333333333	House For Sale	99900			"2035 Post Oak Ct, Mobile, AL36695"	3	2	1373	1998		Better Homes and Gardens Real Estate Generations	http://www.zillow.com/homedetails/2035-Post-Oak-Ct-Mobile-AL-36695/50978826_zpid/		0	8
		1						0	1		5	House For Sale	34500	38000		"306 Coaling Rd, Sylacauga, AL35150"	3	1		1953	11761.2	Atkinson Real Estate LLC	http://www.zillow.com/homedetails/306-Coaling-Rd-Sylacauga-AL-35150/2116367046_zpid/		0	36
1			1								5	House For Sale	119900			"111 Melissa St, Midland City, AL36350"	4	2	2010	1977		LEE WHITMAN	http://www.zillow.com/homedetails/111-Melissa-St-Midland-City-AL-36350/2104279545_zpid/		0	2
											5	Auction	from $10K			"306 3rd St SE, Reform, AL35481"	2	1	1720	1955	22651.2	Auction.com	http://www.zillow.com/homedetails/306-3rd-St-SE-Reform-AL-35481/2104280102_zpid/		0	28
											4	Auction	from $20K			"430A Ozark Rd # A, Abbeville, AL36310"	3	2	1560	2004	54885.6	Auction.com	http://www.zillow.com/homedetails/430A-Ozark-Rd-A-Abbeville-AL-36310/2104280137_zpid/		0	14
												Auction	from $325K			"1060 Lake Ridge Dr, Alexander City, AL35010"	3		3361	2000	52272	Auction.com	http://www.zillow.com/homedetails/1060-Lake-Ridge-Dr-Alexander-City-AL-35010/104551841_zpid/		0	0
								0			5.333333333	House For Sale	139900	96000		"1052 N State Highway 123, Newton, AL36352"	4	3	1890	1991	87120		http://www.zillow.com/homedetails/1052-N-State-Highway-123-Newton-AL-36352/76008234_zpid/		0	0
1			1					0			6	House For Sale	534900	430000		"617 Holland Rd, Newton, AL36352"	4		3800	2004	314938.8		http://www.zillow.com/homedetails/617-Holland-Rd-Newton-AL-36352/76008155_zpid/		0	0
											9	House For Sale	354900	437000		"803 Darrah St, Fairhope, AL36532"	5	5	3429	2007		Maximus Real Estate Inc	http://www.zillow.com/homedetails/803-Darrah-St-Fairhope-AL-36532/2136640393_zpid/		0	0
1		1	1	1	1			0	0		9	House For Sale	241500			"215 Royal Ln, Fairhope, AL36532"	4	2	2429	2000	14810.4	Better Homes and Gardens Real Estate Generations	http://www.zillow.com/homedetails/215-Royal-Ln-Fairhope-AL-36532/72745032_zpid/		0	29
				1		5		0			6.333333333	House For Sale	70000	60000		"108 Bush Ave, Mobile, AL36604"	3	2	1411	1983		Keller Williams  AGC Realty - Fairhope	http://www.zillow.com/homedetails/108-Bush-Ave-Mobile-AL-36604/51010327_zpid/		0	69
											8.333333333	Lot/Land For Sale	148500			"17 Mariner Cir, Orange Beach, AL36561"						"Main Street Properties, Inc."	http://www.zillow.com/homedetails/17-Mariner-Cir-Orange-Beach-AL-36561/2104281092_zpid/		0	1
				1							8.333333333	Foreclosure	189900	226000		"1988 W Beach Blvd #B-203, GULF SHORES, AL36542"	2	3	1200	1984	40946.4	Dumas Realty Inc. Baldwin	http://www.zillow.com/homedetails/1988-W-Beach-Blvd-B-203-Gulf-Shores-AL-36542/72782946_zpid/		0	0
				1		7		0			2.333333333	House For Sale	69000	71000		"727 Iris Ave, Mobile, AL36606"	3	2	1296	1953		Agency One Realty Group	http://www.zillow.com/homedetails/727-Iris-Ave-Mobile-AL-36606/51019881_zpid/		0	48
											6.666666667	House For Sale	179900	159000		"74 Mellow Ln, Alabaster, AL35007"	3	2		2002	46609.2	RE/MAX Southern Homes	http://www.zillow.com/homedetails/74-Mellow-Ln-Alabaster-AL-35007/2122983215_zpid/		0	18
1		1		1		5		0	0		5.333333333	House For Sale	49900	80000		"5623 Warrior River Rd, Hueytown, AL35023"	2	1	1326	1950	32670	RE/MAX Preferred	http://www.zillow.com/homedetails/5623-Warrior-River-Rd-Hueytown-AL-35023/1038814_zpid/		0	8
1			1		1			0	1	1	7.666666667	House For Sale	249900	207000		"113 Laurel Pl, Daphne, AL36526"	3	2	2000	1994	"6,350"	Realty Executives BayShores	http://www.zillow.com/homedetails/113-Laurel-Pl-Daphne-AL-36526/72737872_zpid/		0	49
											5	Lot/Land For Sale	89900			"County Road 68, Gaylesville, AL35973"					635976	Lake Homes Realty	http://www.zillow.com/homedetails/County-Road-68-Gaylesville-AL-35973/2104283668_zpid/		0	0
												House For Sale	143800	143000		"129 Granger Ln, Huntsville, AL35811"	3	2	1715	1990	21780	"Rise Real Estate, Inc."	http://www.zillow.com/homedetails/129-Granger-Ln-Huntsville-AL-35811/92086112_zpid/		0	1
