ListKey	cooling	deck	dishwasher	heating	last_sold	laundry	num_rooms	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore	Street	City	State	Zipcode
4452		1	1	1	"49,896"	1	3	1	6	1	6	Foreclosure	199900	206000	13	"19833 Cook Rd SE, Yelm, WA98597"	3	2	1600	1998	217800	"Lewis Real Estate Sales & Property Management, Inc."	http://www.zillow.com/homedetails/19833-Cook-Rd-SE-Yelm-WA-98597/49370080_zpid/		0	0	19833 Cook Rd SE	 Yelm	WA	98597
4453	1	1	1	1	"200,000"	1	3	1	0		4	Foreclosure	94900	183000	13	"3616 S 12th St, Tacoma, WA98405"	3	2	1536	1912	"3,465"	Pacific Cascade Properties LLC	http://www.zillow.com/homedetails/3616-S-12th-St-Tacoma-WA-98405/49241696_zpid/	1	0	73	3616 S 12th St	 Tacoma	WA	98405
4454		1			"247,000"		3	1	8		5.333333333	Foreclosure	230000	207000	13	"18410 80th Avenue Ct E, Puyallup, WA98375"	3	3	1780	2000	"5,793"	Homepath	http://www.zillow.com/homedetails/18410-80th-Avenue-Ct-E-Puyallup-WA-98375/54870123_zpid/		0	7	18410 80th Avenue Ct E	 Puyallup	WA	98375
4455	1	1	1		"163,000"		3	1	4		8.333333333	House For Sale	349900	382000	13	"21324 18th St E, Lake Tapps, WA98391"	3	3	2060	1981	49658.4	Keller Williams - Puyallup	http://www.zillow.com/homedetails/21324-18th-St-E-Lake-Tapps-WA-98391/49197396_zpid/		0	0	21324 18th St E	 Lake Tapps	WA	98391
4456	1			1	"206,800"		3	1	0		8.333333333	Foreclosure	209900	240000	13	"44108 SE 149th Pl, North Bend, WA98045"	3	2		1978	"9,321"	Keller Williams - Puyallup	http://www.zillow.com/homedetails/44108-SE-149th-Pl-North-Bend-WA-98045/49032208_zpid/		0	1	44108 SE 149th Pl	 North Bend	WA	98045
4457			1	1	"119,917"		1	1	0		5.333333333	Condo For Sale	89900	89000	13	"150 Lavender Ct APT 41, Wenatchee, WA98801"	1	1		1953		John L Scott Real Estate	http://www.zillow.com/homedetails/150-Lavender-Ct-APT-41-Wenatchee-WA-98801/110533458_zpid/		34	55	150 Lavender Ct APT 41	 Wenatchee	WA	98801
4458					"203,500"		3	1	0		6	House For Sale	262500	241000	13	"26722 178th Loop SE, Covington, WA98042"	3		1260	2012	"3,541"	Skyline Properties Inc	http://www.zillow.com/homedetails/26722-178th-Loop-SE-Covington-WA-98042/118557624_zpid/		0	47	26722 178th Loop SE	 Covington	WA	98042
4459	1		1	1	"198,500"	1	4	1	7		9	House For Sale	419000	414000	13	"1738 NW 38th Ave, Camas, WA98607"	4	2	2519	1995	"9,147"	Columbia Tech East Vancouver	http://www.zillow.com/homedetails/1738-NW-38th-Ave-Camas-WA-98607/23283473_zpid/		0	3	1738 NW 38th Ave	 Camas	WA	98607
4460							1	1	6		5	House For Sale	409999	411000	13	"23502 E Bearz Ln, Newman Lake, WA99025"	5	4	5200	2004	435600	"Tomlinson - Spokane, WA"	http://www.zillow.com/homedetails/23502-E-Bearz-Ln-Newman-Lake-WA-99025/121135850_zpid/		0	0	23502 E Bearz Ln	 Newman Lake	WA	99025
4461							3	1	0		5.666666667	Auction	from $65K		13	"11126 Winlock Ct SE # C, Olympia, WA98513"	3	2		1986			http://www.zillow.com/homedetails/11126-Winlock-Ct-SE-C-Olympia-WA-98513/2104360359_zpid/		0	9	11126 Winlock Ct SE # C	 Olympia	WA	98513
4462							2	1	0		3.666666667	Foreclosure	186200	281000	13	"605 Lookout Pl, Twisp, WA98856"	2	2	1430	1981	16117.2	REALHome Services and Solutions	http://www.zillow.com/homedetails/605-Lookout-Pl-Twisp-WA-98856/2104360550_zpid/		0	27	605 Lookout Pl	 Twisp	WA	98856
4463	1	1	1	1	"370,000"		3	1	0		6	For Sale by Owner	439900	347000	13	"186 Erion Ln, Woodland, WA98674"	3	3	2670	2005	87120		http://www.zillow.com/homedetails/186-Erion-Ln-Woodland-WA-98674/82355640_zpid/		0	0	186 Erion Ln	 Woodland	WA	98674
4464		1			"69,000"		0	1	0		3.666666667	Foreclosure	30000	114000	13	"2911 S Puget Sound Ave, Tacoma, WA98409"		1	1058	2013	"5,401"		http://www.zillow.com/homedetails/2911-S-Puget-Sound-Ave-Tacoma-WA-98409/49247718_zpid/		0	54	2911 S Puget Sound Ave	 Tacoma	WA	98409
4465			1	1		1	2	1	0		5.333333333	Home For Sale	128000	196000	13	"1933 Poppy Ln SE, Olympia, WA98503"	2	2	2036	1995		Van Dorm Realtors	http://www.zillow.com/homedetails/1933-Poppy-Ln-SE-Olympia-WA-98503/2104361075_zpid/		24	5	1933 Poppy Ln SE	 Olympia	WA	98503
4466			1	1	"175,500"		4	1	0	1	5	House For Sale	250000	250000	13	"3509 NE 159th Ave, Vancouver, WA98682"	4	2	2200	1990	"7,000"	Gene Thompson	http://www.zillow.com/homedetails/3509-NE-159th-Ave-Vancouver-WA-98682/23282241_zpid/		0	12	3509 NE 159th Ave	 Vancouver	WA	98682
4467							0	1	0		5.333333333	Lot/Land For Sale	45000		13	"Huckleberry Pl, Port Townsend, WA98368"					12196.8	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Huckleberry-Pl-Port-Townsend-WA-98368/2104363109_zpid/		0	0	Huckleberry Pl	 Port Townsend	WA	98368
4468							0	1	0		6	Lot/Land For Sale	49500		13	"Cliff At # 30TH, Port Townsend, WA98368"						Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Cliff-At-30TH-Port-Townsend-WA-98368/2104363108_zpid/		0	3	Cliff At # 30TH	 Port Townsend	WA	98368
4469							0	1	0		4.666666667	Lot/Land For Sale	59900		13	"Machias Lp, Port Ludlow, WA98365"					17424	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Machias-Lp-Port-Ludlow-WA-98365/2104363107_zpid/		0	7	Machias Lp	 Port Ludlow	WA	98365
4470							0	1	0		7.5	Lot/Land For Sale	225000		13	"Cosgrove & Madison, Port Townsend, WA98368"					"5,009"	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Cosgrove-&-Madison-Port-Townsend-WA-98368/2104363106_zpid/		0	52	Cosgrove & Madison	 Port Townsend	WA	98368
4471							0	1	0		6	Lot/Land For Sale	190000		13	"Holcomb St, Port Townsend, WA98368"					26571.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Holcomb-St-Port-Townsend-WA-98368/2104363105_zpid/		0	45	Holcomb St	 Port Townsend	WA	98368
4472							0	1	0		3.333333333	Lot/Land For Sale	49950		13	"N Victory, Port Townsend, WA98368"					20037.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/N-Victory-Port-Townsend-WA-98368/2104363103_zpid/		0	0	N Victory	 Port Townsend	WA	98368
4473							0	1	0		6	Lot/Land For Sale	49500		13	"Cliff At 31st St, Port Townsend, WA98368"						Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Cliff-At-31st-St-Port-Townsend-WA-98368/2104363102_zpid/		0	3	Cliff At 31st St	 Port Townsend	WA	98368
4474							0	1	0		5.333333333	Lot/Land For Sale	79000		13	"Becker St, Port Townsend, WA98368"					17859.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Becker-St-Port-Townsend-WA-98368/2104363100_zpid/		0	0	Becker St	 Port Townsend	WA	98368
4475							0	1	0		5.333333333	Lot/Land For Sale	219000		13	"Discovery Crest Pl, Port Townsend, WA98368"					204296.4	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Discovery-Crest-Pl-Port-Townsend-WA-98368/2104363099_zpid/		0	0	Discovery Crest Pl	 Port Townsend	WA	98368
4476							0	1	0		5.666666667	Lot/Land For Sale	329000		13	"102 W Wildwood Ln, Brinnon, WA98320"					31363.2	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/102-W-Wildwood-Ln-Brinnon-WA-98320/2104363096_zpid/		0	0	102 W Wildwood Ln	 Brinnon	WA	98320
4477							0	1	0		5.333333333	Lot/Land For Sale	69000		13	"18 Spruce Dr, Port Townsend, WA98368"					11761.2	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/18-Spruce-Dr-Port-Townsend-WA-98368/2104363094_zpid/		0	0	18 Spruce Dr	 Port Townsend	WA	98368
4478							0	1	0		6	Lot/Land For Sale	49500		13	"Gibbs & 30th St, Port Townsend, WA98368"					20037.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Gibbs-&-30th-St-Port-Townsend-WA-98368/2104363092_zpid/		0	3	Gibbs & 30th St	 Port Townsend	WA	98368
4479							0	1	0		6	Lot/Land For Sale	99000		13	"191 Silver Berry Pl, Port Townsend, WA98368"					218235.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/191-Silver-Berry-Pl-Port-Townsend-WA-98368/2104363089_zpid/		0	0	191 Silver Berry Pl	 Port Townsend	WA	98368
4480							0	1	0		4	Lot/Land For Sale	100000		13	"Vancouver Ln, Port Townsend, WA98368"					14810.4	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Vancouver-Ln-Port-Townsend-WA-98368/2104363088_zpid/		0	0	Vancouver Ln	 Port Townsend	WA	98368
4481							0	1	0		5	Lot/Land For Sale	12000		13	"Snow Creek Way, Quilcene, WA98376"					20908.8	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Snow-Creek-Way-Quilcene-WA-98376/2104363087_zpid/		0	0	Snow Creek Way	 Quilcene	WA	98376
4482							0	1	0		6	Lot/Land For Sale	49500		13	"Gibbs & 31st St, Port Townsend, WA98368"					20037.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Gibbs-&-31st-St-Port-Townsend-WA-98368/2104363086_zpid/		0	3	Gibbs & 31st St	 Port Townsend	WA	98368
4483							0	1	0		6	Lot/Land For Sale	79500		13	"11TH Street, Port Townsend, WA98368"					"10,018"	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/11TH-Street-Port-Townsend-WA-98368/2104363085_zpid/		0	45	11TH Street	 Port Townsend	WA	98368
