ListKey	cooling	deck	dishwasher	heating	last_sold	laundry	num_rooms	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore	Street	City	State	Zipcode
1	1	1	1	1	"128,000"	1	3	1	0	1	6.666666667	House For Sale	129500	126000	7	"125 Bobbie Dr, Swansea, IL62226"	3	2	1720	1973	3245220	Berkshire Hathaway Home Services	http://www.zillow.com/homedetails/125-Bobbie-Dr-Swansea-IL-62226/5270656_zpid/		0	24	125 Bobbie Dr	 Swansea	IL	62226
2			1	1			7	1	2		5.666666667	Apartment For Sale	279500	268000	8	"3315 Home Ave, Berwyn, IL60402"	6			1894	"6,098"	Re/Max Partners	http://www.zillow.com/homedetails/3315-Home-Ave-Berwyn-IL-60402/2105989577_zpid/		0	81	3315 Home Ave	 Berwyn	IL	60402
3							8	1	0		4.666666667	Apartment For Sale	1100000		8	"1807 W Cortland St, Chicago, IL60622"	8	5		1901	"3,125"	Re/Max Partners	http://www.zillow.com/homedetails/1807-W-Cortland-St-Chicago-IL-60622/2104308103_zpid/		67	86	1807 W Cortland St	 Chicago	IL	60622
4	1		1	1	"112,000"	1	8	1	1		6.333333333	Apartment For Sale	149900	173000	17	"5433 Sugarloaf Ct, Plainfield, IL60586"	2	3	1668	1999		Charles Rutenberg Realty	http://www.zillow.com/homedetails/5433-Sugarloaf-Ct-Plainfield-IL-60586/51398830_zpid/		0	1	5433 Sugarloaf Ct	 Plainfield	IL	60586
5	1						8	1	2		8	House For Sale	266000	289000	21	"60 S Garden Ave, Roselle, IL60172"	3		1859	1978	76	"Austin Realty, Inc."	http://www.zillow.com/homedetails/60-S-Garden-Ave-Roselle-IL-60172/4364040_zpid/		0	22	60 S Garden Ave	 Roselle	IL	60172
6							3	1	0		9	House For Sale	379900	285000	26	"469 W Park Way # 0, Riverside, IL60546"	3	2	2435	1957		Re/Max Action	http://www.zillow.com/homedetails/469-W-Park-Way-0-Riverside-IL-60546/2104545477_zpid/		0	51	469 W Park Way # 0	 Riverside	IL	60546
7				1			4	1	2		1.666666667	Apartment For Sale	184900	171000	31	"2428 S 50th Ave, Cicero, IL60804"	4			1913	"3,484"	RE/MAX Partners Realtors	http://www.zillow.com/homedetails/2428-S-50th-Ave-Cicero-IL-60804/2104602729_zpid/		0	78	2428 S 50th Ave	 Cicero	IL	60804
8	1	1	1	1		1	7	1	2		9	Townhouse For Sale	279500		32	"205 Jason Ct # 205, Bloomingdale, IL60108"	2	3	1984	1997		RE/MAX 1ST	http://www.zillow.com/homedetails/205-Jason-Ct-205-Bloomingdale-IL-60108/2104623695_zpid/		0	36	205 Jason Ct # 205	 Bloomingdale	IL	60108
9	1		1	1	"27,000"	1	3	1	0		2.666666667	House For Sale	73900	76000	39	"107 Hodge Ct, Alton, IL62002"	3	2	1224	1970		RE/MAX EXPRESS	http://www.zillow.com/homedetails/107-Hodge-Ct-Alton-IL-62002/4996113_zpid/		0	41	107 Hodge Ct	 Alton	IL	62002
10					"90,000"		0	1	2		9.666666667	House For Sale	288000	338000	40	"905 S Fairfield Ave, Elmhurst, IL60126"			1456	1945	"6,600"	Remax Action	http://www.zillow.com/homedetails/905-S-Fairfield-Ave-Elmhurst-IL-60126/4481452_zpid/		14	29	905 S Fairfield Ave	 Elmhurst	IL	60126
11	1			1	"83,000"	1	8	1	4		8	Condo For Sale	79900	111000	43	"1911 Canterbury Dr APT B, Washington, IL61571"	2	2	1164	1975	1729332	Keller Williams Premier Realty	http://www.zillow.com/homedetails/1911-Canterbury-Dr-APT-B-Washington-IL-61571/5298605_zpid/		0	30	1911 Canterbury Dr APT B	 Washington	IL	61571
12		1		1			6	1	1		7	Condo For Sale	179500	227000	44	"5447 S Cornell Ave APT 1N, Chicago, IL60615"	2		1637			Re/Max 1st - Elmhurst	http://www.zillow.com/homedetails/5447-S-Cornell-Ave-APT-1N-Chicago-IL-60615/3988321_zpid/	1	66	87	5447 S Cornell Ave APT 1N	 Chicago	IL	60615
13		1				1	4	1	1		8.333333333	House For Sale	299900	338000	47	"16720 W Cottonwood Rd, Elmwood, IL61529"	4	3	5280	2000	120661.2	RE/MAX Unlimited	http://www.zillow.com/homedetails/16720-W-Cottonwood-Rd-Elmwood-IL-61529/64632025_zpid/		0	0	16720 W Cottonwood Rd	 Elmwood	IL	61529
14			1		"260,000"	1	7	1	0		9.333333333	House For Sale	289900	235000	48	"70 Timberlane Dr, Morton, IL61550"	3		2076	1975	15681.6	RE/MAX Unlimited	http://www.zillow.com/homedetails/70-Timberlane-Dr-Morton-IL-61550/5318812_zpid/		0	3	70 Timberlane Dr	 Morton	IL	61550
15					"135,000"		1	1	0		6.333333333	Condo For Sale	54900	85000	51	"2445 N 78th Ave APT 1E, Elmwood Park, IL60707"	1	1		1969		Realty Executives Premiere	http://www.zillow.com/homedetails/2445-N-78th-Ave-APT-1E-Elmwood-Park-IL-60707/70457221_zpid/		0	67	2445 N 78th Ave APT 1E	 Elmwood Park	IL	60707
16					"42,201"		8	1	2		7.666666667	House For Sale	459900	456000	53	"629 S Charlotte St, Lombard, IL60148"	4	2	2868	2007	13503.6	Realty Executives Premiere	http://www.zillow.com/homedetails/629-S-Charlotte-St-Lombard-IL-60148/4485203_zpid/		0	50	629 S Charlotte St	 Lombard	IL	60148
17	1	1	1	1	"244,000"	1	4	1	1		8.333333333	Condo For Sale	179900	165000	53	"7450 Lincoln Ave UNIT 412, Skokie, IL60076"	1		1250	2000		Realty Scientists Inc.	http://www.zillow.com/homedetails/7450-Lincoln-Ave-UNIT-412-Skokie-IL-60076/60260648_zpid/		0	59	7450 Lincoln Ave UNIT 412	 Skokie	IL	60076
18	1		1	1			2	1	1		7.666666667	House For Sale	144000	154000	55	"210 Sunflower Dr, Highland, IL62249"	3	3	2040	1984	"8,000"	Berkshire Hathaway Home Services	http://www.zillow.com/homedetails/210-Sunflower-Dr-Highland-IL-62249/2104886519_zpid/		0	16	210 Sunflower Dr	 Highland	IL	62249
19	1			1	"143,000"		7	1	1		4	House For Sale	99900	135000	56	"692 Lincoln Ave, Elgin, IL60120"	3	2	1314	1950		Realty Executives Premiere	http://www.zillow.com/homedetails/692-Lincoln-Ave-Elgin-IL-60120/4629937_zpid/		0	47	692 Lincoln Ave	 Elgin	IL	60120
20	1				"239,000"		5	1	2		5.333333333	House For Sale	269000	154000	59	"3541 Elmwood Ave, Berwyn, IL60402"	3			1958	"5,490"	Remax Action	http://www.zillow.com/homedetails/3541-Elmwood-Ave-Berwyn-IL-60402/3836316_zpid/		0	55	3541 Elmwood Ave	 Berwyn	IL	60402
21	1	1	1	1	"175,503"		4	1	2	1	9.333333333	House For Sale	249900	233000	61	"123 E Willow Bend Dr, Glen Carbon, IL62034"	4	4	2800	1995	"9,682"	"Fusion Realty, LLC"	http://www.zillow.com/homedetails/123-E-Willow-Bend-Dr-Glen-Carbon-IL-62034/4953670_zpid/		0	2	123 E Willow Bend Dr	 Glen Carbon	IL	62034
22	1		1	1	"194,667"	1	9	1	2		8.333333333	House For Sale	339500	351000	61	"26W407 Jewell Rd, Winfield, IL60190"	5		2300	1996	63	"Austin Realty, Inc."	http://www.zillow.com/homedetails/26W407-Jewell-Rd-Winfield-IL-60190/4432494_zpid/		0	27	26W407 Jewell Rd	 Winfield	IL	60190
23			1	1	"130,000"	1	5	1	0		7	House For Sale	329000	298000	63	"4517 N Monitor Ave, Chicago, IL60630"	5	3	1079	1923	"3,750"	Henry Schleichkorn Realty	http://www.zillow.com/homedetails/4517-N-Monitor-Ave-Chicago-IL-60630/3651699_zpid/		63	66	4517 N Monitor Ave	 Chicago	IL	60630
24							2	1	0		5.666666667	Condo For Sale	184900	166000	66	"1111 Burlington 0 # 301, Lisle, IL60532"	2	2	1187	2001		Re/Max Action	http://www.zillow.com/homedetails/1111-Burlington-0-301-Lisle-IL-60532/2105018371_zpid/		0	55	1111 Burlington 0 # 301	 Lisle	IL	60532
25							3	1	0		5.666666667	House For Sale	175000	175000	66	"2933 George St # 0, Franklin Park, IL60131"	3	2	1421	1952		Re/Max Action	http://www.zillow.com/homedetails/2933-George-St-0-Franklin-Park-IL-60131/2105018432_zpid/		0	72	2933 George St # 0	 Franklin Park	IL	60131
26	1		1	1		1	9	1	0		7	House For Sale	179900	170000	67	"705 S Euclid Ave, Princeton, IL61356"	4		3300	1911	13939.2	Landmark Realty Of Illinois LL	http://www.zillow.com/homedetails/705-S-Euclid-Ave-Princeton-IL-61356/91348494_zpid/	1	0	53	705 S Euclid Ave	 Princeton	IL	61356
27	1		1	1	"450,000"	1	6	1	1		9	Condo For Sale	485000	497000	77	"427 W Grant Pl APT D, Chicago, IL60614"	3	3	1670	1972		RE/MAX Signature	http://www.zillow.com/homedetails/427-W-Grant-Pl-APT-D-Chicago-IL-60614/3737619_zpid/		79	95	427 W Grant Pl APT D	 Chicago	IL	60614
28	1	1	1	1	"165,000"	1	5	1	7	1	8.333333333	House For Sale	434000	442000	80	"7215 Bannockburn Cir, Village of Lakewood, IL60014"	5		3090	2004	48351.6	"Schulenburg Realty, Inc."	http://www.zillow.com/homedetails/7215-Bannockburn-Cir-Village-Of-Lakewood-IL-60014/61097878_zpid/	1	0	17	7215 Bannockburn Cir	 Village of Lakewood	IL	60014
29	1			1	"190,000"		5	1	0		4	Condo For Sale	175000	161000	80	"3237 W Sunnyside Ave # 2E, Chicago, IL60625"	2	1				Berkshire Hathaway HomeServices KoenigRubloff Realty Group	http://www.zillow.com/homedetails/3237-W-Sunnyside-Ave-2E-Chicago-IL-60625/70458300_zpid/		61	88	3237 W Sunnyside Ave # 2E	 Chicago	IL	60625
30	1	1	1	1	"212,200"		8	1	9		3.666666667	House For Sale	199000	195000	83	"426 Charlestown Dr, Bolingbrook, IL60440"	4	2	1950	1971		Charles Rutenberg Realty	http://www.zillow.com/homedetails/426-Charlestown-Dr-Bolingbrook-IL-60440/5392501_zpid/		0	55	426 Charlestown Dr	 Bolingbrook	IL	60440
31	1	1		1	"108,000"		7	1	0		3	House For Sale	89900	98000	87	"655 Landau Ave, Joliet, IL60432"	3	2	1672	1999		Realty Executives Premiere	http://www.zillow.com/homedetails/655-Landau-Ave-Joliet-IL-60432/5478542_zpid/		0	63	655 Landau Ave	 Joliet	IL	60432
32	1				"430,000"		5	1	1		7.666666667	House For Sale	574000	564000	87	"16 Horseshoe Ln, Lemont, IL60439"	5	4	3310	1982	42688.8	Berkshire Hathaway HomeServices KoenigRubloff Realty Group	http://www.zillow.com/homedetails/16-Horseshoe-Ln-Lemont-IL-60439/4029630_zpid/		0	13	16 Horseshoe Ln	 Lemont	IL	60439
33		1	1		"250,000"	1	4	1	1		3	Condo For Sale	239000		89	"345 N Canal St APT 806, Chicago, IL60606"	1	1	1000			"CENTURY 21 S.G.R., Inc."	http://www.zillow.com/homedetails/345-N-Canal-St-APT-806-Chicago-IL-60606/3862943_zpid/		100	95	345 N Canal St APT 806	 Chicago	IL	60606
34	1		1	1	"306,000"		5	1	0		4	House For Sale	399000	311000	89	"1612 Winged Foot Dr, Pekin, IL61554"	5	3	2088	2005	19166.4	RE/MAX Unlimited	http://www.zillow.com/homedetails/1612-Winged-Foot-Dr-Pekin-IL-61554/82584390_zpid/		0	0	1612 Winged Foot Dr	 Pekin	IL	61554
35	1		1	1	"180,000"	1	4	1	0		3	House For Sale	189900	168000	95	"1521 Henry St, Alton, IL62002"	4	2	2866	1893	114	RE/MAX EXPRESS	http://www.zillow.com/homedetails/1521-Henry-St-Alton-IL-62002/4995022_zpid/		0	39	1521 Henry St	 Alton	IL	62002
36	1		1	1			1	1	8		9	House For Sale	264900	232000	96	"2920 Baldwin Ln, Lake In the Hills, IL60156"	4	4	2260	1999	"7,553"	RE/MAX Unlimited Northwest	http://www.zillow.com/homedetails/2920-Baldwin-Ln-Lake-In-The-Hills-IL-60156/51317443_zpid/		0	11	2920 Baldwin Ln	 Lake In the Hills	IL	60156
37	1				"111,000"		3	1	2		6.333333333	House For Sale	114900	79000	97	"48 Dale Allen Dr, Belleville, IL62226"	3	2	1550	1962	118	BHHS Elite Properties	http://www.zillow.com/homedetails/48-Dale-Allen-Dr-Belleville-IL-62226/5267571_zpid/	1	0	37	48 Dale Allen Dr	 Belleville	IL	62226
38					"266,500"		5	1	2		4	House For Sale	204999		101	"429 Ardglass Ct, Bolingbrook, IL60440"	5		2375	1974		Coldwell Banker Residential Brokerage - Naperville	http://www.zillow.com/homedetails/429-Ardglass-Ct-Bolingbrook-IL-60440/5401322_zpid/		0	32	429 Ardglass Ct	 Bolingbrook	IL	60440
39	1		1	1		1	7	1	1		9.666666667	Condo For Sale	199000	237000	105	"2822 Dundee Rd UNIT 8B, Northbrook, IL60062"	2	2	2000	1968		Baird & Warner Real Estate	http://www.zillow.com/homedetails/2822-Dundee-Rd-UNIT-8B-Northbrook-IL-60062/2105529031_zpid/		0	60	2822 Dundee Rd UNIT 8B	 Northbrook	IL	60062
40							3	1	0		6.666666667	House For Sale	179999	109000	108	"3845 Winward Way Dr, Swansea, IL62226"	3	2	2068	2010	"6,048"	RE/MAX Signature Properties	http://www.zillow.com/homedetails/3845-Winward-Way-Dr-Swansea-IL-62226/2130017494_zpid/		0	17	3845 Winward Way Dr	 Swansea	IL	62226
41	1		1	1			5	1	0		7	House For Sale	140000	126000	116	"310 Potawatomi Dr, Tiskilwa, IL61368"	3	2	1390	1998	14810.4	Landmark Realty Of Illinois LL	http://www.zillow.com/homedetails/310-Potawatomi-Dr-Tiskilwa-IL-61368/91354197_zpid/		0	0	310 Potawatomi Dr	 Tiskilwa	IL	61368
42	1			1	"247,500"		5	1	1		6.666666667	Condo For Sale	285000	294000	117	"1046 W Byron St APT 1W, Chicago, IL60613"	2	2	1200	1908		Brian Merrion and Dan Merrion	http://www.zillow.com/homedetails/1046-W-Byron-St-APT-1W-Chicago-IL-60613/3711299_zpid/		83	89	1046 W Byron St APT 1W	 Chicago	IL	60613
43	1	1	1	1	"3,747,000"	1	4	1	6		9.333333333	House For Sale	4385000		123	"28 Brinker Rd, Barrington, IL60010"	6	9	11597	1999	313632	Jameson Sotheby's International Realty	http://www.zillow.com/homedetails/28-Brinker-Rd-Barrington-IL-60010/3243724_zpid/		0	0	28 Brinker Rd	 Barrington	IL	60010
44	1	1	1	1	"504,000"	1	1	1	1		9.333333333	House For Sale	675000	634000	127	"6319 Farmwood Dr, Long Grove, IL60047"	5	4	4021	1996	11325.6	@properties	http://www.zillow.com/homedetails/6319-Farmwood-Dr-Long-Grove-IL-60047/4866904_zpid/		0	1	6319 Farmwood Dr	 Long Grove	IL	60047
45	1			1			5	1	1		6	Condo For Sale	286500	272000	129	"4428 N Malden St # 3N, Chicago, IL60640"	2	2	1600			City Point Realty	http://www.zillow.com/homedetails/4428-N-Malden-St-3N-Chicago-IL-60640/2105860169_zpid/		75	91	4428 N Malden St # 3N	 Chicago	IL	60640
46	1		1	1			4	1	0		4.666666667	House For Sale	164100	152000	131	"1026 Ina Ave, Princeton, IL61356"	4		2177	1971	12632.4	Landmark Realty Of Illinois LL	http://www.zillow.com/homedetails/1026-Ina-Ave-Princeton-IL-61356/91349787_zpid/		0	7	1026 Ina Ave	 Princeton	IL	61356
47	1	1	1	1	"120,000"		4	1	2		6.333333333	House For Sale	169900	160000	132	"848 Vassar Dr, Edwardsville, IL62025"	4	3	1620	1973	"8,712"	RE/MAX Signature Properties	http://www.zillow.com/homedetails/848-Vassar-Dr-Edwardsville-IL-62025/4947897_zpid/		0	35	848 Vassar Dr	 Edwardsville	IL	62025
48	1		1	1	"289,000"	1	4	1	3		3	House For Sale	305000	255000	133	"1210 Seasons Dr, Godfrey, IL62035"	4	3	3022	2008	11325.6	RE/MAX EXPRESS	http://www.zillow.com/homedetails/1210-Seasons-Dr-Godfrey-IL-62035/89583923_zpid/		0	0	1210 Seasons Dr	 Godfrey	IL	62035
49	1		1	1		1	7	1	1		3	Condo For Sale	389000	370000	138	"3140 N Richmond St # 1, Chicago, IL60618"	3					Dream Town Realty	http://www.zillow.com/homedetails/3140-N-Richmond-St-1-Chicago-IL-60618/2105985300_zpid/		68	81	3140 N Richmond St # 1	 Chicago	IL	60618
50	1	1	1	1	"360,000"	1	5	1	7		7.666666667	House For Sale	1494900		140	"1918 N Summit St, Wheaton, IL60187"	5	7	5773	2005	30056.4	Jameson Sotheby's International Realty	http://www.zillow.com/homedetails/1918-N-Summit-St-Wheaton-IL-60187/4435310_zpid/		16	22	1918 N Summit St	 Wheaton	IL	60187
51					"170,000"		3	1	0		6.666666667	House For Sale	174000	168000	143	"1710 Rockport Rd, Hampshire, IL60140"	3		1600			United Real Estate	http://www.zillow.com/homedetails/1710-Rockport-Rd-Hampshire-IL-60140/112448477_zpid/		0	0	1710 Rockport Rd	 Hampshire	IL	60140
52	1	1		1	"139,500"		6	1	2		8.666666667	Foreclosure	289900	311000	145	"615 S Taylor Ave, Oak Park, IL60304"	3	2	1178	1918	"3,101"	Homepath	http://www.zillow.com/homedetails/615-S-Taylor-Ave-Oak-Park-IL-60304/3813594_zpid/		0	69	615 S Taylor Ave	 Oak Park	IL	60304
53	1	1	1	1	"165,000"	1	4	1	2	1	5	House For Sale	179900	173000	145	"1975 Dogwood Trl, Collinsville, IL62234"	4	4	3045	1984	79	RE/MAX ALLIANCE	http://www.zillow.com/homedetails/1975-Dogwood-Trl-Collinsville-IL-62234/4938117_zpid/		0	9	1975 Dogwood Trl	 Collinsville	IL	62234
54	1		1	1	"145,000"	1	4	1	1		7.333333333	Condo For Sale	121250	141000	151	"1451 E 55th St APT 730N, Chicago, IL60615"	2	2		1958		"THE MARGIE SMIGEL GROUP, LLC"	http://www.zillow.com/homedetails/1451-E-55th-St-APT-730N-Chicago-IL-60615/3989805_zpid/		68	88	1451 E 55th St APT 730N	 Chicago	IL	60615
55					"70,000"		3	1	0		2.666666667	House For Sale	97000	82000	152	"700 Douglas Pl, Alton, IL62002"	3	2	1684	1954	"6,668"	RE/MAX EXPRESS	http://www.zillow.com/homedetails/700-Douglas-Pl-Alton-IL-62002/4993018_zpid/		0	33	700 Douglas Pl	 Alton	IL	62002
56							4	1	0		7	House For Sale	123000	114000	161	"215 N Arch St, Tiskilwa, IL61368"	4	3				Landmark Realty Of Illinois LL	http://www.zillow.com/homedetails/215-N-Arch-St-Tiskilwa-IL-61368/2106310869_zpid/		0	31	215 N Arch St	 Tiskilwa	IL	61368
57	1		1	1		1	7	1	0		3.666666667	House For Sale	205900	197000	163	"409 Clifton Ln, Bolingbrook, IL60440"	3	3	1614	2003	"9,583"	Riverwalk Realty	http://www.zillow.com/homedetails/409-Clifton-Ln-Bolingbrook-IL-60440/63062737_zpid/		0	32	409 Clifton Ln	 Bolingbrook	IL	60440
58	1		1	1			3	1	1	1	8	Townhouse For Sale	362500	363000	166	"4139 Royal Mews Cir, Naperville, IL60564"	3		2792	2010		Baird & Warner	http://www.zillow.com/homedetails/4139-Royal-Mews-Cir-Naperville-IL-60564/2129776014_zpid/	1	0	20	4139 Royal Mews Cir	 Naperville	IL	60564
59	1	1	1	1	"263,000"	1	4	1	2	1	5.333333333	House For Sale	225000	256000	175	"809 Red Barn Ln, Elgin, IL60124"	4	3	2819	1999	"10,890"	Superior Homes Realty	http://www.zillow.com/homedetails/809-Red-Barn-Ln-Elgin-IL-60124/4642153_zpid/	1	0	34	809 Red Barn Ln	 Elgin	IL	60124
60	1		1	1	"305,000"	1	6	1	0		7	Condo For Sale	219000	186000	184	"5300 S South Shore Dr APT 46, Chicago, IL60615"	3	2	1500	1918		"THE MARGIE SMIGEL GROUP, LLC"	http://www.zillow.com/homedetails/5300-S-South-Shore-Dr-APT-46-Chicago-IL-60615/61961915_zpid/		67	86	5300 S South Shore Dr APT 46	 Chicago	IL	60615
61	1	1	1	1	"70,000"		5	1	2	1	4.5	House For Sale	187000	166000	188	"124 Granary Ct, Troy, IL62294"	5	3	2622	1982	14810.4	"Fusion Realty, LLC"	http://www.zillow.com/homedetails/124-Granary-Ct-Troy-IL-62294/4927887_zpid/		0	5	124 Granary Ct	 Troy	IL	62294
62	1	1		1	"239,900"		7	1	7		9.333333333	House For Sale	209000	205000	190	"2800 Fairfax Ln, Lake In the Hills, IL60156"	3		1727	1998		United Real Estate	http://www.zillow.com/homedetails/2800-Fairfax-Ln-Lake-In-The-Hills-IL-60156/5057565_zpid/		0	19	2800 Fairfax Ln	 Lake In the Hills	IL	60156
63	1		1	1	"90,000"		2	1	1		7.333333333	House For Sale	209900	364000	217	"10839 S Keeler Ave, Oak Lawn, IL60453"	6	3	4023	1956	"6,673"	Re/Max Partners	http://www.zillow.com/homedetails/10839-S-Keeler-Ave-Oak-Lawn-IL-60453/4086616_zpid/		0	38	10839 S Keeler Ave	 Oak Lawn	IL	60453
64					"144,500"		1	1	0		4.666666667	Condo For Sale	135000	114000	232	"4240 N Clarendon Ave APT 302S, Chicago, IL60613"	1	1		1926		Berkshire Hathaway HomeServices KoenigRubloff Realty Group	http://www.zillow.com/homedetails/4240-N-Clarendon-Ave-APT-302S-Chicago-IL-60613/3706838_zpid/		81	90	4240 N Clarendon Ave APT 302S	 Chicago	IL	60613
65	1		1	1	"85,000"	1	4	1	3		6	House For Sale	180000	218000	234	"709 Riviera Cir, Edwardsville, IL62025"	4	3	2346	1975	45738	Berkshire Hathaway Home Services	http://www.zillow.com/homedetails/709-Riviera-Cir-Edwardsville-IL-62025/4957810_zpid/		0	14	709 Riviera Cir	 Edwardsville	IL	62025
66	1			1	"202,500"		4	1	0		8.666666667	Condo For Sale	138400	136000	235	"615 Washington Blvd #3S, OAK PARK, IL60302"	1	1		1928		Baird & Warner Real Estate	http://www.zillow.com/homedetails/615-Washington-Blvd-3S-Oak-Park-IL-60302/87716621_zpid/		0	77	615 Washington Blvd #3S	 OAK PARK	IL	60302
67					"130,000"		3	1	0		3.666666667	House For Sale	99900	131000	255	"204 Riverwoods Cv, East Alton, IL62024"	3	3	1625	1977	14810.4	RE/MAX EXPRESS	http://www.zillow.com/homedetails/204-Riverwoods-Cv-East-Alton-IL-62024/4969354_zpid/		0	22	204 Riverwoods Cv	 East Alton	IL	62024
68	1		1	1	"575,000"	1	3	1	5		6.333333333	House For Sale	525000	462000	291	"4504 Foxhall Ln, Springfield, IL62711"	4	5	5538			The Real Estate Group	http://www.zillow.com/homedetails/4504-Foxhall-Ln-Springfield-IL-62711/75509903_zpid/	1	0	0	4504 Foxhall Ln	 Springfield	IL	62711
69		1			"360,000"		9	1	6		7	House For Sale	399900	389000	296	"1011 N Washington St, Wheaton, IL60187"	3		1856	1934	55	"Austin Realty, Inc."	http://www.zillow.com/homedetails/1011-N-Washington-St-Wheaton-IL-60187/4435069_zpid/		18	39	1011 N Washington St	 Wheaton	IL	60187
70					"115,000"	1	4	1	0		8.333333333	House For Sale	675000		327	"5710 Deer Hill Rd, Waterloo, IL62298"	4	3	3178	2004	10	"CENTURY 21 Advantage Real Estate, Inc."	http://www.zillow.com/homedetails/5710-Deer-Hill-Rd-Waterloo-IL-62298/117697250_zpid/	1	0	0	5710 Deer Hill Rd	 Waterloo	IL	62298
71	1		1	1		1	2	1	1		3	Condo For Sale	175000	60000	333	"135 16th St, Rock Island, IL61201"	2	2	1348	2003		Davenport I-74 Office	http://www.zillow.com/homedetails/135-16th-St-Rock-Island-IL-61201/64983871_zpid/		0	58	135 16th St	 Rock Island	IL	61201
72	1	1	1	1		1	9	1	2	1	5.333333333	House For Sale	470000		376	"296 Sheila Ray Ln, Carbondale, IL62902"	3	3	4990	2012	548856	Coldwell Banker Prime Realty	http://www.zillow.com/homedetails/296-Sheila-Ray-Ln-Carbondale-IL-62902/2109984196_zpid/		0	0	296 Sheila Ray Ln	 Carbondale	IL	62902
73	1	1			"555,000"		1	1	3		5.333333333	House For Sale	429900	504000	456	"1424 Greenlake Dr, Aurora, IL60502"	5	3	3749	1990	10890	Riverwalk Realty	http://www.zillow.com/homedetails/1424-Greenlake-Dr-Aurora-IL-60502/4500588_zpid/	1	0	21	1424 Greenlake Dr	 Aurora	IL	60502
74	1		1	1	"345,000"	1	7	1	1		4.666666667	Townhouse For Sale	389900	381000	506	"726 W Junior Ter APT D, Chicago, IL60613"	3	3	1875	1984		Brian Merrion and Dan Merrion	http://www.zillow.com/homedetails/726-W-Junior-Ter-APT-D-Chicago-IL-60613/3703217_zpid/	1	77	76	726 W Junior Ter APT D	 Chicago	IL	60613
75		1					2	1	0		2.333333333	Condo For Sale	99900			"1618 Mcclure Rd # 1618, Aurora, IL60505"	2	2	1100	2005		Coldwell Banker Residential Brokerage - St Charles	http://www.zillow.com/homedetails/1618-Mcclure-Rd-1618-Aurora-IL-60505/2104242435_zpid/		0	35	1618 Mcclure Rd # 1618	 Aurora	IL	60505
76					"343,500"		3	1	0		7	House For Sale	244900			"470 Stone Cutter Dr, Bourbonnais, IL60914"	3	3	1731	2006		Coldwell Banker Residential Brokerage - Bradley	http://www.zillow.com/homedetails/470-Stone-Cutter-Dr-Bourbonnais-IL-60914/91365507_zpid/		0	6	470 Stone Cutter Dr	 Bourbonnais	IL	60914
77		1			"90,000"		3	1	0		5	House For Sale	128000			"14924 Central Park Ave, Midlothian, IL60445"	3		1300	1975	"6,600"	Coldwell Banker Residential Brokerage - Downers Grove	http://www.zillow.com/homedetails/14924-Central-Park-Ave-Midlothian-IL-60445/4215866_zpid/		0	42	14924 Central Park Ave	 Midlothian	IL	60445
78			1		"303,000"		3	1	0		8.333333333	Condo For Sale	299900			"9730 Koch Ct UNIT 1E, Orland Park, IL60467"	3	2	1930	2004		Coldwell Banker Residential Brokerage - Orland Park	http://www.zillow.com/homedetails/9730-Koch-Ct-UNIT-1E-Orland-Park-IL-60467/80825944_zpid/		0	32	9730 Koch Ct UNIT 1E	 Orland Park	IL	60467
79			1				3	1	0		7	House For Sale	249900			"9628 S Kolin Ave, Oak Lawn, IL60453"	3	2	1900	1968	"7,784"	Coldwell Banker Residential Brokerage - Oak Lawn	http://www.zillow.com/homedetails/9628-S-Kolin-Ave-Oak-Lawn-IL-60453/4070460_zpid/		0	68	9628 S Kolin Ave	 Oak Lawn	IL	60453
80			1		"232,000"		3	1	0		6	House For Sale	239000			"3905 Forest Ave, Brookfield, IL60513"	3		1434	1950	"5,998"	Coldwell Banker Residential Brokerage - La Grange	http://www.zillow.com/homedetails/3905-Forest-Ave-Brookfield-IL-60513/3886252_zpid/		0	72	3905 Forest Ave	 Brookfield	IL	60513
81					"186,000"		3	1	0		7	House For Sale	355000	306000		"416 Wisconsin Rd, New Lenox, IL60451"	3	2	2700			Lincoln-Way Realty	http://www.zillow.com/homedetails/416-Wisconsin-Rd-New-Lenox-IL-60451/59690089_zpid/		0	10	416 Wisconsin Rd	 New Lenox	IL	60451
82		1	1			1	6	1	1		6.666666667	Townhouse For Sale	298000			"215 W Hyde, Arlington Heights, IL60005"	2		2025	2007		House Select Realty	http://www.zillow.com/homedetails/215-W-Hyde-Arlington-Heights-IL-60005/2104242929_zpid/		0	39	215 W Hyde	 Arlington Heights	IL	60005
83	1	1	1	1	"150,000"	1	8	1	2		6	For Sale by Owner	329000	273000		"2839 N 73rd Ct, Elmwood Park, IL60707"	4	3	2400	1955	"4,166"		http://www.zillow.com/homedetails/2839-N-73rd-Ct-Elmwood-Park-IL-60707/3602082_zpid/		0	76	2839 N 73rd Ct	 Elmwood Park	IL	60707
84	1		1	1	"279,500"	1	4	1	2		7	House For Sale	259900	234000		"215 Highpoint Cir N, Bourbonnais, IL60914"	4	4	2400	2005		McColly Real Estate	http://www.zillow.com/homedetails/215-Highpoint-Cir-N-Bourbonnais-IL-60914/91365751_zpid/		0	28	215 Highpoint Cir N	 Bourbonnais	IL	60914
